,0
0,2008-02-07
1,2012-08-05
2,2016-01-27
3,2006-09-17
4,1972-12-31
5,2016-03-07
6,2015-12-02
7,1997-12-18
8,2015-05-31
9,2016-04-19
10,2014-12-15
11,2012-02-22
12,2013-09-16
13,2008-12-24
14,1997-02-19
15,2015-01-01
16,2015-07-23
17,2013-08-14
18,1997-12-19
19,2015-02-27
20,1979-01-29
21,2010-02-12
22,1995-03-21
23,2002-10-28
24,1966-11-12
25,2016-03-19
26,2016-02-20
27,2015-05-01
28,2013-01-19
29,2007-10-07
30,2016-02-06
31,1986-12-04
32,2007-04-16
33,2015-01-24
34,2014-04-02
35,2015-02-07
36,1976-02-19
37,2016-04-19
38,2016-03-31
39,2015-05-25
40,2009-03-10
41,1994-05-26
42,2013-11-01
43,1998-10-06
44,2012-02-27
45,2009-11-29
46,2010-08-03
47,2016-03-05
48,2012-12-11
49,2015-06-20
50,2016-01-29
51,1982-03-19
52,1997-09-15
53,1988-02-11
54,2016-02-21
55,2013-02-03
56,2016-02-06
57,1988-12-14
58,1999-11-02
59,2015-05-03
60,2016-03-07
61,2016-01-17
62,2015-02-04
63,2016-03-19
64,2005-03-21
65,1994-12-30
66,2013-01-30
67,1993-05-06
68,2014-02-20
69,1998-03-06
70,2007-12-05
71,2008-10-26
72,2015-08-19
73,1991-11-14
74,2016-02-25
75,2015-02-24
76,1983-02-18
77,2013-10-21
78,2013-02-19
79,2001-03-05
80,2016-03-26
81,2011-02-06
82,2005-02-24
83,2015-10-21
84,2007-10-25
85,2014-08-08
86,2013-06-07
87,1999-05-20
88,2016-01-25
89,2016-02-20
90,2004-12-08
91,1991-08-09
92,2013-04-21
93,2015-06-07
94,2016-02-19
95,2007-12-24
96,1989-09-14
97,2013-08-07
98,1985-01-21
99,2016-02-28
100,2012-04-06
101,2012-09-28
102,1992-09-11
103,2015-02-10
104,2016-01-11
105,1989-08-10
106,2013-12-28
107,2015-02-26
108,2012-12-14
109,2015-03-13
110,2016-01-27
111,2015-05-12
112,2011-09-06
113,2015-03-18
114,2015-05-31
115,2016-02-20
116,2016-04-21
117,2016-02-26
118,2016-03-19
119,2015-08-26
120,2015-07-22
121,1984-06-29
122,2015-02-22
123,2016-02-25
124,1993-09-17
125,2013-08-05
126,2016-04-19
127,1996-02-02
128,2014-06-08
129,2015-11-23
130,2015-04-25
131,2015-02-28
132,2004-11-21
133,2015-01-24
134,1998-05-21
135,1993-12-14
136,1993-07-08
137,2016-01-31
138,2016-03-20
139,2012-06-09
140,2001-02-05
141,2014-06-05
142,2015-11-23
143,2016-03-13
144,2015-05-10
145,2015-11-15
146,2015-03-30
147,1999-12-30
148,2007-12-11
149,2015-11-04
150,2016-03-21
151,2015-07-12
152,1993-05-06
153,2008-07-24
154,2015-06-16
155,1992-10-15
156,2012-09-27
157,2016-03-06
158,1974-12-30
159,2008-02-14
160,1988-09-26
161,2016-03-20
162,2007-02-12
163,2016-03-09
164,1998-04-24
165,2006-03-25
166,1990-06-17
167,2012-01-29
168,1996-08-15
169,2016-01-23
170,2016-02-20
171,2014-04-29
172,1988-05-20
173,2016-04-09
174,2016-02-28
175,2014-10-24
176,2000-12-26
177,2016-04-07
178,1997-12-01
179,2016-01-23
180,2015-03-28
181,1986-08-20
182,2003-05-09
183,2016-03-25
184,2016-04-09
185,1994-11-07
186,1983-08-19
187,2015-10-01
188,2014-12-01
189,2015-08-29
190,1974-01-17
191,1999-04-20
192,2015-12-06
193,1988-02-16
194,1982-08-20
195,2015-08-08
196,2016-02-09
197,1991-10-16
198,2009-03-29
199,2015-03-15
200,2006-01-30
201,2015-04-21
202,2016-03-21
203,2016-04-01
204,2014-03-23
205,2009-03-29
206,2013-07-26
207,1966-08-01
208,2011-01-08
209,1979-10-06
210,2014-06-29
211,1976-07-12
212,2015-09-10
213,2011-04-06
214,2016-04-29
215,2013-03-13
216,2015-11-27
217,2016-02-07
218,2016-04-18
219,1994-06-20
220,2015-10-09
221,1992-05-01
222,2011-07-07
223,2007-12-09
224,2016-03-25
225,2009-04-03
226,2013-04-24
227,2016-03-15
228,1988-09-22
229,2015-02-09
230,2016-03-06
231,2015-07-16
232,2012-05-30
233,1995-11-15
234,1984-02-24
235,2015-09-27
236,2015-04-03
237,2015-10-01
238,2015-03-19
239,2006-10-02
240,2016-02-06
241,1991-11-01
242,1985-03-06
243,2007-10-11
244,1989-01-17
245,2015-02-01
246,1991-10-10
247,2015-11-13
248,2016-03-11
249,2015-11-07
250,2015-04-07
251,1999-09-15
252,2016-04-26
253,1995-01-26
254,1971-11-11
255,2015-10-31
256,2015-02-07
257,2007-04-10
258,2003-07-08
259,2006-08-30
260,2003-08-27
261,2002-01-16
262,2015-01-10
263,2005-03-12
264,2015-04-05
265,2015-04-16
266,2012-04-02
267,2016-03-06
268,2016-02-23
269,2014-11-19
270,1999-12-06
271,1987-04-23
272,2016-02-27
273,2016-02-21
274,2014-05-23
275,2008-06-25
276,2006-08-24
277,1995-04-03
278,1993-12-07
279,2016-02-07
280,1993-07-01
281,2016-04-24
282,1984-07-18
283,2009-11-05
284,1996-02-09
285,2016-03-12
286,2016-01-06
287,2016-01-07
288,1993-12-16
289,2015-02-22
290,2016-03-11
291,2015-06-17
292,2015-09-17
293,1999-07-29
294,2011-10-12
295,2016-03-07
296,1986-08-12
297,2015-01-28
298,1998-03-24
299,2012-07-20
300,1993-08-06
301,2016-01-30
302,2012-10-21
303,1992-12-14
304,1997-10-01
305,2016-02-23
306,2016-03-09
